"","study","germplasm","grain_yield_bu_ac","test_weight_lb_bu","heading_time_jd","plant_height_in"
"227","Big6_Neo_24","IL2021-17859",12.2790286541506,3.04317114602009,-2.80264016376918,-2.1941690549266
"228","Big6_Urb_23","2425",12.2708535778791,-2.62476900751743,1.0032636524215,-4.13427736929461
"229","Big6_Neo_24","IL2021-16612",12.2215285293035,0.746991942239925,-0.359148576940603,-1.70122189470134
"230","Big6_Laf_23","2243",12.2194704194627,0.509449580431741,-1.86134295371821,NA
"231","Big6_Prn_24","X16-1079-65-13-5-1",12.2111366254867,1.25407371143997,0.967164600321575,NA
"232","Big6_Urb_24","X17-1078-4-20-1-7",12.1935226440979,3.53369012583144,0.26927186261733,0.122652865671043
"233","Big6_Woo_24","IL16LCSDH-04-T-2659-20",12.1748665148277,1.91417889915182,NA,NA
"234","Big6_Prn_23","OH18-46-89",12.1617896835903,2.93582045108457,2.73525630798572,4.03985814929445
"235","Big6_Woo_23","NY12351-1-14-20-1484",12.1587403952628,-0.214478624959834,1.97409804817844,-2.56887703256918
"236","Big6_Woo_23","MI22R142",12.1412643144599,-0.378772922941351,2.25586320530504,-3.05428403508377
"237","Big6_Laf_23","2203",12.1359077228306,-0.898157930324906,1.33749085435864,NA
"238","Big6_Fre_24","OH21-92-54",12.1069794948595,0.000240614550241027,NA,NA
"239","Big6_Neo_24","OH20-96-99",12.1004572293491,-0.431027871639677,-1.23659128901711,-0.763262774811309
"240","Big6_Woo_23","2238",12.0928506941385,-0.954110416512149,4.43362243059085,2.94383579007314
"241","Big6_Prn_23","2246",12.0713396523325,0.791917896383534,-0.970755432870928,-1.39839853830745
"242","Big6_Fre_24","OH21*117-102",12.0613309020046,-1.47095141290757,NA,NA
"243","Big6_Woo_24","X17-1096-113-1-1-2",12.0530139418957,-0.585931075555468,NA,NA
"244","Big6_Woo_24","OH19-161-70",12.0053893735411,1.1102941827614,NA,NA
"245","Big6_Prn_23","OH18*48-106",12.0047081368898,0.611735968824848,0.00966145104611758,-1.64601715843322
"246","Big6_Laf_23","NY12325-1-10-12-1476",12.0043216971994,-1.32150501513169,5.29681129081941,NA
"247","Big6_Urb_23","MI22R109",11.977140785505,-2.07253138234926,-0.845149435263761,-1.95967479550339
"248","Big6_Prn_24","X17-1673-29-3-5-1",11.967711429476,0.36654881914852,-0.0687874013600717,NA
"249","Big6_Urb_24","IL16LCSDH-08-T-2663-55",11.9205873099541,1.16628730874085,-2.1981592497498,0.87391724591774
"250","Big6_Prn_23","MI16R0720",11.9197241480452,-0.499415755282348,-1.47480555440407,-2.26823071434222
"251","Big6_Neo_24","2404",11.9169732469087,0.807655519546846,0.626299408635918,-0.407141381511561
"252","Big6_Prn_24","X17-1413-42-2-5-1",11.9048925718227,1.09366308134635,-0.00962934502891141,NA
"253","Big6_Laf_23","NY15150-01-01-12-1870",11.8986775301578,-1.34220459377139,-0.221707027875862,NA
"254","Big6_Neo_24","2020-14116",11.8628743511392,-0.893470732037736,-1.1347879885843,0.355730236020369
"255","Big6_Woo_23","MI22R057",11.8577138551371,-0.00273538337299012,-1.06791942522708,-1.21987552558554
"256","Big6_Neo_24","2429",11.8256595520608,0.590467232021578,2.07281470871743,-0.462266666123614
"257","Big6_Fra_24","2435",11.7868350661767,-1.13345700927597,NA,NA
"258","Big6_Urb_23","2211",11.7837744349078,-2.31025629539378,1.56945006738418,0.28141705416022
"259","Big6_Urb_23","21PU-0058",11.7257698714951,-0.281461454164699,0.773280313811771,1.87994259653065
"260","Big6_Urb_23","16-8048",11.7171871173958,1.33231753033539,-1.22522935769333,0.304335053714747
