"","germplasm","predicted.value_grain_yield","predicted.value_test_weight","predicted.value_heading_time","predicted.value_plant_height","predicted.value_maturity","std.error_grain_yield","std.error_test_weight","std.error_heading_time","std.error_plant_height","std.error_maturity"
"82","2230",86.0391000803721,55.7843556683232,130.078433319999,36.9656779446131,158.176655285809,5.17646070776843,0.778676770366265,3.74880400318394,1.67210959228443,3.67526552019416
"83","2020-15256",85.9430365466871,56.8665716954379,126.521874538988,37.0516246912861,158.242150094638,4.90668561751681,0.742054280688593,3.74113659001586,1.60522413985429,3.27052047344106
"84","2236",85.9399585756895,55.6513977737937,129.053493775137,36.5123684452091,156.684039105496,4.94306095132495,0.748994694382528,3.74390231873341,1.63116476409155,3.35659951520581
"85","IL2021-18457",85.9393107296806,56.8202219434889,127.038357573244,36.046866007268,159.459976365935,5.04334432890927,0.762258551976855,3.75604057260309,1.7513243653958,3.3493252326807
"86","2227",85.9131007895714,55.7569926659707,127.656350859273,34.9353181002488,158.60919193269,5.16759266253355,0.77966856064493,3.7483313476839,1.66707658035747,3.64728525399133
"87","OH21-115-96",85.8834469138872,56.6644467389032,128.923090338727,37.2883089443202,160.905302173732,5.00048521268179,0.759146869051131,3.75559258129841,1.75754712477743,3.36201103629876
"88","OH20-17-3",85.8740439693724,56.791940962345,129.420421082181,36.7448871405047,162.398092190041,4.90114735114268,0.741807670130367,3.74093725790636,1.60392995613271,3.2838442618191
"89","2241",85.7816514010505,54.9756915172173,129.965728313119,38.7527546875407,158.711608367614,5.15842361229657,0.778138001623782,3.74792958351286,1.66332675524105,3.64125317757664
"90","IL2021-28712",85.7563808594504,56.953872236952,127.269222382229,32.8557898429693,160.261054453926,5.06701471458194,0.763091187725202,3.75503869285326,1.74573570199215,3.36858176543747
"91","2238",85.6708045971433,54.8659415871935,131.07250218745,38.5178090266547,160.229291239533,5.15032044062075,0.777405122168246,3.7480812102166,1.66522380036641,3.57677763509382
"92","MI22R109",85.6662200165559,54.688594947834,127.440641769786,34.1005982670483,158.801825322569,4.95112809276722,0.74627828717253,3.74526755768841,1.64543325591437,3.27069593747252
"93","X17-1096-113-1-1-6",85.6148376767076,56.3373319306776,129.523403522375,36.3817604703805,161.035436489163,5.02367940637049,0.761299990443453,3.75465152398376,1.74045989983655,3.35425936028781
"94","OH20-36-80",85.6032060664599,56.2959460821439,127.848753817995,37.3645433042102,158.994217375582,5.14749234133112,0.778631981092408,3.74725867653517,1.6570294187509,3.62341133979504
"95","MI22R142",85.5747422194002,55.3001947590986,129.31187146177,33.169587339259,160.323564965494,4.9396252048754,0.746626874069736,3.74507837512148,1.64687956976348,3.27103959046812
"96","X17-1413-42-2-5-1",85.5536819002483,56.1372908708689,128.66804762354,37.0878803154099,160.223270026076,5.03909234429948,0.762359347595423,3.75483390815006,1.74418965254105,3.35265120711582
"97","X16-1002-4-3-3-1",85.5499561285781,56.3252565179641,127.606356902562,35.1578146521131,160.147624560675,4.91086755886317,0.742630951375712,3.74125370414348,1.60754286150313,3.27138918589033
"98","X17-1601-103-11-5-1",85.5249979800189,57.4587253690242,127.564487955732,32.8260192635328,160.793794010329,5.05574532924729,0.763399408518098,3.75606457343125,1.75757480833058,3.36304947651603
"99","21PU-0507",85.517020371099,54.5808500910312,127.388791440678,35.3307421945932,160.639048605326,5.14804159010297,0.774238813447654,3.74692530940232,1.65198989281046,3.68051463519156
"100","OH21*96-47",85.5000001521483,56.3474653910798,128.068395329899,37.748779265797,157.318874049541,5.00585377756717,0.76133526353815,3.76372682200208,1.75432778400834,3.35778311764028
"101","X17-1096-113-1-1-11",85.4884160858762,56.3191138951778,130.571999791028,36.4481093743685,161.426447681112,5.04788694729271,0.761900608997304,3.76531416998002,1.75495277583109,3.35773969357612
"102","OH20-21-15",85.4802827014143,55.3658840199992,128.936767672209,33.1930715700536,160.41158099239,5.10999752530361,0.77546997203863,3.74652258220525,1.6536954960534,3.49551655986182
"103","X17-1078-4-20-1-11",85.4532720465537,56.4715865665639,129.965963893967,34.4910732232281,159.355792604675,5.03398031594014,0.762104456665467,3.76362258005893,1.74557600460589,3.35323166348571
"104","OH18*48-106",85.4477907167828,55.3442657541991,129.288384420853,35.3754473467941,160.198763351227,5.12766373809505,0.77852419054401,3.74692807635889,1.65737123380298,3.50432969489026
"105","IL2021-32902",85.4474652989619,57.3074726319414,126.01956418413,36.8877461142907,156.258508537157,5.04592884470313,0.760988159035816,3.75696995930663,1.75251144133047,3.3649601683578
"106","21PU-0280",85.4206722668821,54.4617432167682,128.751737449368,35.111772720504,160.079914559427,5.00379280080342,0.755792130050393,3.74222926266656,1.62517611622546,3.47270300704344
"107","OH21-111-85",85.4181541580349,57.2690911349111,128.196982486882,39.5887216101251,158.810495683425,5.01288647222384,0.759790532054521,3.75577144831277,1.74857521702803,3.36346481376882
"108","2204",85.2876898807157,56.3820105358412,127.223790206675,35.5613789835214,159.065202558579,5.0143985102422,0.756752549281203,3.74242983372038,1.63206677850821,3.58022819470565
"109","2435",85.2863393597302,55.396245354433,127.6569651182,33.4357211228587,156.951617820341,5.04668399130722,0.76244212956426,3.75665956660318,1.75610419147252,3.36049711572408
"110","NY15158-01-01-10-1873",85.282081837394,55.4569570102159,127.672514997477,36.6495125141398,159.045612316848,4.88832157780818,0.739438683320516,3.73953311385482,1.59614601528789,3.27113494361927
"111","OH18-46-89",85.2476160917507,57.8018219042816,129.630542733423,38.7306137810942,160.687267589334,5.01940689423741,0.756526055785073,3.74202861640143,1.62397128656527,3.61294184829148
"112","MI20R0096",85.2256408123834,54.4538780007865,129.584817254876,33.2465388685244,160.913160163722,4.94356810769548,0.74668874310011,3.74517999558399,1.64720911919029,3.27151783767838
